"pmcid","doi","year","first_author","title","is_open_access","app_urls"
"PMC12644166","10.3758/s13428-025-02879-w","2025","Fünderich JH, Beinhauer LJ, Renkewitz F.","Under my umbrella: Rating scales obscure statistical power and effect size heterogeneity.","Y",""
"PMC12274255","10.3758/s13428-025-02730-2","2025","Reips UD, Overlander AT, Bannert M.","Dropout analysis: A method for data from Internet-based research and dropR, an R-based web app and package to analyze and visualize dropout.","Y","https://iscience-kn.shinyapps.io/dropR/"
"PMC12187800","10.3758/s13428-025-02717-z","2025","Haaf JM, Hoffstadt M, Lesche S.","Attentional control data collection: A resource for efficient data reuse.","Y",""
"PMC11958428","10.3758/s13428-025-02654-x","2025","Wong TK, Tendeiro JN.","On a generalizable approach for sample size determination in Bayesian t tests.","Y","https://tkwong3004.shinyapps.io/BayesTtestPower/"
"PMC11920309","10.3758/s13428-025-02646-x","2025","Riesthuis P, Otgaar H, Bücken C.","Ready to ROC? A tutorial on simulation-based power analyses for null hypothesis significance, minimum-effect, and equivalence testing for ROC curve analyses.","Y","https://paulriesthuis.shinyapps.io/ROC_Power_Shiny/"
"PMC12178973","10.3758/s13428-025-02728-w","2025","Dickson B, Maini SS, Sanders C, Nosofsky R, Tiganj Z.","Comparing perceptual judgments in large multimodal models and humans.","Y",""
"PMC12572084","10.3758/s13428-025-02833-w","2025","Henninger M, Malejka S, Titz J.","Contrast analysis for competing hypotheses: A tutorial using the R package cofad.","Y",""
"PMC11961472","10.3758/s13428-025-02638-x","2025","Groskurth K, Bhaktha N, Lechner CM.","The simulation-cum-ROC approach: A new approach to generate tailored cutoffs for fit indices through simulation and ROC analysis.","Y","https://sempower.shinyapps.io/sempower | https://sjak.shinyapps.io/power4SEM/ | https://kg11.shinyapps.io/tailoredcutoffs/"
"PMC12304047","10.3758/s13428-025-02749-5","2025","Lösener U, Moerbeek M.","Bayesian sample size determination for longitudinal intervention studies with linear and log-linear growth.","Y","https://losener.shinyapps.io/MLM_input | https://losener.shinyapps.io/MLM_input/"
"PMC11525278","10.3758/s13428-024-02505-1","2024","Moerbeek M.","Optimal design of cluster randomized crossover trials with a continuous outcome: Optimal number of time periods and treatment switches under a fixed number of clusters or fixed budget.","Y","https://utrecht-university.shinyapps.io/OD_CRXO/"
"PMC12089172","10.3758/s13428-025-02699-y","2025","Fenn J, Gouret F, Gorki M, Reuter L, Gros W, Hüttner P, Kiesel A.","Cognitive-affective maps extended logic: Proposing tools to collect and analyze attitudes and belief systems.","Y",""
"PMC11525388","10.3758/s13428-024-02496-z","2024","Suggate SP.","Beyond self-report: Measuring visual, auditory, and tactile mental imagery using a mental comparison task.","Y",""
"PMC11525247","10.3758/s13428-024-02473-6","2024","Fu X, Franchak JM, MacNeill LA, Gunther KE, Borjon JI, Yurkovic-Harding J, Harding S, Bradshaw J, Pérez-Edgar KE.","Implementing mobile eye tracking in psychological research: A practical guide.","N",""
"PMC11525415","10.3758/s13428-024-02476-3","2024","Irmer JP, Klein AG, Schermelleh-Engel K.","Estimating power in complex nonlinear structural equation modeling including moderation effects: The powerNLSEM R-package.","Y",""
"PMC11133087","10.3758/s13428-023-02276-1","2024","Kohne J, Montag C.","ChatDashboard: A Framework to collect, link, and process donated WhatsApp Chat Log Data.","Y","https://shiny.molekulare-psychologie.de/jkohne/ChatDashboardShowcase/"
"PMC11133044","10.3758/s13428-023-02262-7","2024","Efthimiou TN, Perusquía-Hernández M, Elsenaar A, Mehu M, Korb S.","Application of facial neuromuscular electrical stimulation (fNMES) in psychophysiological research: Practical recommendations based on a systematic review of the literature.","Y",""
"PMC11133154","10.3758/s13428-024-02343-1","2024","Larigaldie N, Dreneva A, Orquin JL.","eyeScrollR: A software method for reproducible mapping of eye-tracking data from scrollable web pages.","Y",""
"PMC11362481","10.3758/s13428-024-02396-2","2024","Buchberger ES, Ngo CT, Peikert A, Brandmaier AM, Werkle-Bergner M.","Estimating statistical power for structural equation models in developmental cognitive science: A tutorial in R : Power simulation for SEMs.","Y",""
"PMC9950292","10.3758/s13428-022-01906-4","2023","Zettersten M, Yurovsky D, Xu TL, Uner S, Tsui ASM, Schneider RM, Saleh AN, Meylan SC, Marchman VA, Mankewitz J, MacDonald K, Long B, Lewis M, Kachergis G, Handa K, deMayo B, Carstensen A, Braginsky M, Boyce V, Bhatt NS, Bergey CA, Frank MC.","Peekbank: An open, large-scale repository for developmental eye-tracking data of children's word recognition.","N",""
"PMC11362208","10.3758/s13428-024-02374-8","2024","Kaufmann E, Reips UD.","Meta-analysis in a digitalized world: A step-by-step primer.","Y",""
"PMC11522193","10.3758/s13428-023-02254-7","2024","Moshagen M, Bader M.","semPower: General power analysis for structural equation models.","Y","https://sempower.shinyapps.io/sempower"
"PMC11362254","10.3758/s13428-024-02414-3","2024","Fitzpatrick N, Floccia C.","Comparing child word associations to adult associative norms: Evidence for child-specific associations with a strong priming effect in 3-year-olds.","Y",""
"PMC9729151","10.3758/s13428-022-01791-x","2022","Moerbeek M.","Power analysis of longitudinal studies with piecewise linear growth and attrition.","Y","https://utrecht-university.shinyapps.io/Power_Piecewise_Growth/"
"PMC11289018","10.3758/s13428-023-02188-0","2024","Silas S, Müllensiefen D, Kopiez R.","Singing Ability Assessment: Development and validation of a singing test based on item response theory and a general open-source software environment for singing data.","Y","https://shiny.gold-msi.org/longgold_demo/"
"PMC10991016","10.3758/s13428-023-02108-2","2024","Mickes L, Seale-Carlisle TM, Chen X, Boogert S.","pyWitness 1.0: A python eyewitness identification analysis toolkit.","Y",""
"PMC11133040","10.3758/s13428-023-02230-1","2024","Manolov R, Onghena P.","Testing delayed, gradual, and temporary treatment effects in randomized single-case experiments: A general response function framework.","Y","https://manolov.shinyapps.io/ResponseFunction | https://manolov.shinyapps.io/ResponseFunction/"
"PMC10991072","10.3758/s13428-023-02116-2","2024","Tsuda H, Kawabata H.","materialmodifier: An R package of photo editing effects for material perception research.","Y",""
"PMC11133148","10.3758/s13428-023-02193-3","2024","Groskurth K, Bluemke M, Lechner CM.","Why we need to abandon fixed cutoffs for goodness-of-fit indices: An extensive simulation and possible solutions.","Y",""
"PMC9918585","10.3758/s13428-022-01829-0","2023","Pirla S, Taquet M, Quoidbach J.","Measuring affect dynamics: An empirical framework.","Y","https://sergiopirla.shinyapps.io/powerADapp | https://sergiopirla.shinyapps.io/powerADapp/"
"PMC8367915","10.3758/s13428-020-01529-7","2021","Moerbeek M.","The effect of missing data on design efficiency in repeated cross-sectional multi-period two-arm parallel cluster randomized trials.","Y","https://utrecht-university.shinyapps.io/missing_data_CRT/"
"PMC7725696","10.3758/s13428-020-01389-1","2020","Taylor JE, Beith A, Sereno SC.","LexOPS: An R package and user interface for the controlled generation of word stimuli.","Y",""
"PMC9757638","10.3758/s13428-022-02012-1","2023","Tueller S, Ramirez D, Cance JD, Ye A, Wheeler AC, Fan Z, Hornik C, Ridenour TA.","Power analysis for idiographic (within-subject) clinical trials: Implications for treatments of rare conditions and precision medicine.","Y",""
"PMC8367885","10.3758/s13428-020-01479-0","2021","Jak S, Jorgensen TD, Verdam MGE, Oort FJ, Elffers L.","Analytical power calculations for structural equation modeling: A tutorial and Shiny app.","Y","https://sjak.shinyapps.io/power4SEM/"
"PMC7725695","10.3758/s13428-020-01355-x","2020","Chen L, Savalei V, Rhemtulla M.","Two-stage maximum likelihood approach for item-level missing data in regression.","Y",""
"PMC9170665","10.3758/s13428-021-01680-9","2022","He JL, Hirst RJ, Puri R, Coxon J, Byblow W, Hinder M, Skippen P, Matzke D, Heathcote A, Wadsley CG, Silk T, Hyde C, Parmar D, Pedapati E, Gilbert DL, Huddleston DA, Mostofsky S, Leunissen I, MacDonald HJ, Chowdhury NS, Gretton M, Nikitenko T, Zandbelt B, Strickland L, Puts NAJ.","OSARI, an Open-Source Anticipated Response Inhibition Task.","Y","https://bastd.shinyapps.io/shiny_bastd/"
"PMC9170652","10.3758/s13428-021-01656-9","2022","Speed LJ, Brybaert M.","Dutch sensory modality norms.","Y",""
"PMC6538819","10.3758/s13428-018-01189-8","2019","Stefan AM, Gronau QF, Schönbrodt FD, Wagenmakers EJ.","A tutorial on Bayes Factor Design Analysis using an informed prior.","Y","http://shinyapps.org/apps/BFDA/"
"PMC5880860","10.3758/s13428-017-0909-3","2018","van Renswoude DR, Raijmakers MEJ, Koornneef A, Johnson SP, Hunnius S, Visser I.","Gazepath: An eye-tracking analysis tool that accounts for individual differences and data quality.","Y",""
