"api","doi","year","first_author","title","abstract_urls"
"crossref","10.3758/s13428-023-02118-0",2023,"Qin Xu","Sample size and power calculations for causal mediation analysis: A Tutorial and Shiny App",""
"crossref","10.3758/s13428-024-02386-4",2024,"Qin Xu","Correction to: Sample size and power calculations for causal mediation analysis: A tutorial and Shiny app",""
"crossref","10.3758/s13428-021-01718-y",2021,"Maxwell Nicholas P.","The lrd package: An R package and Shiny application for processing lexical data",""
"crossref","10.3758/s13428-024-02571-5",2025,"Jak Suzanne","Author Correction: Analytical power calculations for structural equation modeling: A tutorial and Shiny app",""
"crossref","10.3758/s13428-020-01479-0",2020,"Jak Suzanne","Analytical power calculations for structural equation modeling: A tutorial and Shiny app",""
"s2","10.3758/s13428-018-1165-x",2018,"","Extrapolating baseline trend in single-case data: Problems and tentative solutions",""
"s2","10.3758/s13428-025-02654-x",2025,"","On a generalizable approach for sample size determination in Bayesian t tests",""
"s2","10.3758/s13428-020-01355-x",2020,"","Two-stage maximum likelihood approach for item-level missing data in regression",""
"s2","10.3758/s13428-024-02413-4",2024,"","A new sample-size planning approach for person-specific VAR(1) studies: Predictive accuracy analysis",""
"s2","10.3758/s13428-025-02717-z",2025,"","Attentional control data collection: A resource for efficient data reuse",""
"s2","10.3758/s13428-025-02611-8",2025,"","Reliability representativeness: How well does coefficient alpha summarize reliability across the score distribution?",""
"s2","10.3758/s13428-025-02730-2",2025,"","Dropout analysis: A method for data from Internet-based research and dropR, an R-based web app and package to analyze and visualize dropout",""
"s2","10.3758/s13428-022-02044-7",2023,"","Visualization of latent components assessed in O*Net occupations (VOLCANO): A robust method for standardized conversion of occupational labels to ratio scale format",""
"s2","10.3758/s13428-020-01529-7",2021,"","The effect of missing data on design efficiency in repeated cross-sectional multi-period two-arm parallel cluster randomized trials",""
"s2","10.3758/s13428-024-02447-8",2024,"","Assessing the distortions introduced when calculating d’: A simulation approach",""
"s2","10.3758/s13428-025-02646-x",2025,"","Ready to ROC? A tutorial on simulation-based power analyses for null hypothesis significance, minimum-effect, and equivalence testing for ROC curve analyses",""
"s2","10.3758/s13428-025-02638-x",2025,"","The simulation-cum-ROC approach: A new approach to generate tailored cutoffs for fit indices through simulation and ROC analysis",""
"s2","10.3758/s13428-025-02728-w",2025,"","Comparing perceptual judgments in large multimodal models and humans",""
"s2","10.3758/s13428-024-02505-1",2024,"","Optimal design of cluster randomized crossover trials with a continuous outcome: Optimal number of time periods and treatment switches under a fixed number of clusters or fixed budget",""
"s2","10.3758/s13428-022-01791-x",2022,"","Power analysis of longitudinal studies with piecewise linear growth and attrition",""
"s2","10.3758/s13428-017-0909-3",2017,"","Gazepath: An eye-tracking analysis tool that accounts for individual differences and data quality",""
"s2","10.3758/s13428-022-01900-w",2022,"","The Order & Complexity Toolbox for Aesthetics (OCTA): A systematic approach to study the relations between order, complexity, and aesthetic appreciation",""
"s2","10.3758/s13428-017-0899-1",2017,"","AGSuite: Software to conduct feature analysis of artificial grammar learning performance",""
"s2","10.3758/s13428-023-02276-1",2023,"","ChatDashboard: A Framework to collect, link, and process donated WhatsApp Chat Log Data",""
"s2","10.3758/s13428-025-02879-w",2025,"","Under my umbrella: Rating scales obscure statistical power and effect size heterogeneity",""
